line,wavelength
CuKa,1.5418741
CuKa1,1.5405929
CuKa2,1.5444274
CuKв1,1.392234
CuKв5,1.381111
CrKa,2.29106
CrKa1,2.289726
CrKa2,2.293651
CrKв1,2.084881
CrKв5,2.070901
FeKa,1.9374
FeKa1,1.936041
FeKa2,1.939973
FeKв1,1.756604
FeKв5,1.74423
CoKa,1.7903
CoKa1,1.788996
CoKa2,1.792835
CoKв1,1.620826
CoKв5,1.608934
ZrKa1,0.7859579
ZrKa2,0.790179
ZrKв1,0.7018008
ZrKв5,0.69591
MoKa1,0.70931715
MoKa2,0.713607
MoKв1,0.632303
MoKв5,0.626929
AgKa1,0.55942178
AgKa2,0.5638131
AgKв1,0.4970817
AgKв5,0.493067
WKa1,0.20901314
WKa2,0.21383304
WKв1,0.1843768
WKв5,0.183095